Energy,ntotal,nmax,izmax,expizmax
100000,43687.947,1351.923,29.373,2041.562009
200000,87401.595,2552.067,31.554,3595.286187
300000,131119.183,3725.496,33.225,5546.689562
400000,174828.875,4861.818,34.607,7939.033573
500000,218476.314,5979.579,35.245,9368.328343
600000,262218.13,7075.446,36.058,11568.49431
700000,305946.063,8172.047,36.764,13894.21565
800000,349620.994,9283.161,37.222,15647.49407
900000,393342.366,10404.053,37.537,16980.14049
1000000,437058.744,11450.88,38.087,19584.80565
